backbone.model.features.8.block.3.0.weight                             (24, 72, 1, 1)                 torch.float32        numel=1728
backbone.model.features.8.block.3.1.weight                             (24,)                          torch.float32        numel=24
backbone.model.features.8.block.3.1.bias                               (24,)                          torch.float32        numel=24
backbone.model.features.8.block.3.1.running_mean                       (24,)                          torch.float32        numel=24
backbone.model.features.8.block.3.1.running_var                        (24,)                          torch.float32        numel=24
backbone.model.features.8.block.3.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.9.block.0.0.weight                             (144, 24, 1, 1)                torch.float32        numel=3456
backbone.model.features.9.block.0.1.weight                             (144,)                         torch.float32        numel=144
backbone.model.features.9.block.0.1.bias                               (144,)                         torch.float32        numel=144
backbone.model.features.9.block.0.1.running_mean                       (144,)                         torch.float32        numel=144
backbone.model.features.9.block.0.1.running_var                        (144,)                         torch.float32        numel=144
backbone.model.features.9.block.0.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.9.block.1.0.weight                             (144, 1, 5, 5)                 torch.float32        numel=3600
backbone.model.features.9.block.1.1.weight                             (144,)                         torch.float32        numel=144
backbone.model.features.9.block.1.1.bias                               (144,)                         torch.float32        numel=144
backbone.model.features.9.block.1.1.running_mean                       (144,)                         torch.float32        numel=144
backbone.model.features.9.block.1.1.running_var                        (144,)                         torch.float32        numel=144
backbone.model.features.9.block.1.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.9.block.2.fc1.weight                           (40, 144, 1, 1)                torch.float32        numel=5760
backbone.model.features.9.block.2.fc1.bias                             (40,)                          torch.float32        numel=40
backbone.model.features.9.block.2.fc2.weight                           (144, 40, 1, 1)                torch.float32        numel=5760
backbone.model.features.9.block.2.fc2.bias                             (144,)                         torch.float32        numel=144
backbone.model.features.9.block.3.0.weight                             (48, 144, 1, 1)                torch.float32        numel=6912
backbone.model.features.9.block.3.1.weight                             (48,)                          torch.float32        numel=48
backbone.model.features.9.block.3.1.bias                               (48,)                          torch.float32        numel=48
backbone.model.features.9.block.3.1.running_mean                       (48,)                          torch.float32        numel=48
backbone.model.features.9.block.3.1.running_var                        (48,)                          torch.float32        numel=48
backbone.model.features.9.block.3.1.num_batches_tracked                ()                             torch.int64          numel=1
backbone.model.features.10.block.0.0.weight                            (288, 48, 1, 1)                torch.float32        numel=13824
backbone.model.features.10.block.0.1.weight                            (288,)                         torch.float32        numel=288
backbone.model.features.10.block.0.1.bias                              (288,)                         torch.float32        numel=288
backbone.model.features.10.block.0.1.running_mean                      (288,)                         torch.float32        numel=288
backbone.model.features.10.block.0.1.running_var                       (288,)                         torch.float32        numel=288
backbone.model.features.10.block.0.1.num_batches_tracked               ()                             torch.int64          numel=1
backbone.model.features.10.block.1.0.weight                            (288, 1, 5, 5)                 torch.float32        numel=7200
backbone.model.features.10.block.1.1.weight                            (288,)                         torch.float32        numel=288
backbone.model.features.10.block.1.1.bias                              (288,)                         torch.float32        numel=288
backbone.model.features.10.block.1.1.running_mean                      (288,)                         torch.float32        numel=288
backbone.model.features.10.block.1.1.running_var                       (288,)                         torch.float32        numel=288
backbone.model.features.10.block.1.1.num_batches_tracked               ()                             torch.int64          numel=1
backbone.model.features.10.block.2.fc1.weight                          (72, 288, 1, 1)                torch.float32        numel=20736
backbone.model.features.10.block.2.fc1.bias                            (72,)                          torch.float32        numel=72
backbone.model.features.10.block.2.fc2.weight                          (288, 72, 1, 1)                torch.float32        numel=20736
backbone.model.features.10.block.2.fc2.bias                            (288,)                         torch.float32        numel=288
backbone.model.features.10.block.3.0.weight                            (48, 288, 1, 1)                torch.float32        numel=13824
backbone.model.features.10.block.3.1.weight                            (48,)                          torch.float32        numel=48
backbone.model.features.10.block.3.1.bias                              (48,)                          torch.float32        numel=48
backbone.model.features.10.block.3.1.running_mean                      (48,)                          torch.float32        numel=48
backbone.model.features.10.block.3.1.running_var                       (48,)                          torch.float32        numel=48
backbone.model.features.10.block.3.1.num_batches_tracked               ()                             torch.int64          numel=1
backbone.model.features.11.block.0.0.weight                            (288, 48, 1, 1)                torch.float32        numel=13824
backbone.model.features.11.block.0.1.weight                            (288,)                         torch.float32        numel=288
backbone.model.features.11.block.0.1.bias                              (288,)                         torch.float32        numel=288
backbone.model.features.11.block.0.1.running_mean                      (288,)                         torch.float32        numel=288
backbone.model.features.11.block.0.1.running_var                       (288,)                         torch.float32        numel=288
backbone.model.features.11.block.0.1.num_batches_tracked               ()                             torch.int64          numel=1
backbone.model.features.11.block.1.0.weight                            (288, 1, 5, 5)                 torch.float32        numel=7200
backbone.model.features.11.block.1.1.weight                            (288,)                         torch.float32        numel=288
backbone.model.features.11.block.1.1.bias                              (288,)                         torch.float32        numel=288
backbone.model.features.11.block.1.1.running_mean                      (288,)                         torch.float32        numel=288
backbone.model.features.11.block.1.1.running_var                       (288,)                         torch.float32        numel=288
backbone.model.features.11.block.1.1.num_batches_tracked               ()                             torch.int64          numel=1
backbone.model.features.11.block.2.fc1.weight                          (72, 288, 1, 1)                torch.float32        numel=20736
backbone.model.features.11.block.2.fc1.bias                            (72,)                          torch.float32        numel=72
backbone.model.features.11.block.2.fc2.weight                          (288, 72, 1, 1)                torch.float32        numel=20736
backbone.model.features.11.block.2.fc2.bias                            (288,)                         torch.float32        numel=288
backbone.model.features.11.block.3.0.weight                            (48, 288, 1, 1)                torch.float32        numel=13824
backbone.model.features.11.block.3.1.weight                            (48,)                          torch.float32        numel=48
backbone.model.features.11.block.3.1.bias                              (48,)                          torch.float32        numel=48
backbone.model.features.11.block.3.1.running_mean                      (48,)                          torch.float32        numel=48
backbone.model.features.11.block.3.1.running_var                       (48,)                          torch.float32        numel=48
backbone.model.features.11.block.3.1.num_batches_tracked               ()                             torch.int64          numel=1
adapt_layers.layer0.conv.weight                                        (64, 16, 1, 1)                 torch.float32        numel=1024
adapt_layers.layer0.conv.bias                                          (64,)                          torch.float32        numel=64
adapt_layers.layer0.bn.weight                                          (64,)                          torch.float32        numel=64
adapt_layers.layer0.bn.bias                                            (64,)                          torch.float32        numel=64
adapt_layers.layer0.bn.running_mean                                    (64,)                          torch.float32        numel=64
adapt_layers.layer0.bn.running_var                                     (64,)                          torch.float32        numel=64
adapt_layers.layer0.bn.num_batches_tracked                             ()                             torch.int64          numel=1
adapt_layers.layer1.conv.weight                                        (128, 24, 1, 1)                torch.float32        numel=3072
adapt_layers.layer1.conv.bias                                          (128,)                         torch.float32        numel=128
adapt_layers.layer1.bn.weight                                          (128,)                         torch.float32        numel=128
adapt_layers.layer1.bn.bias                                            (128,)                         torch.float32        numel=128
adapt_layers.layer1.bn.running_mean                                    (128,)                         torch.float32        numel=128
adapt_layers.layer1.bn.running_var                                     (128,)                         torch.float32        numel=128
adapt_layers.layer1.bn.num_batches_tracked                             ()                             torch.int64          numel=1
adapt_layers.layer2.conv.weight                                        (256, 48, 1, 1)                torch.float32        numel=12288
adapt_layers.layer2.conv.bias                                          (256,)                         torch.float32        numel=256
adapt_layers.layer2.bn.weight                                          (256,)                         torch.float32        numel=256
adapt_layers.layer2.bn.bias                                            (256,)                         torch.float32        numel=256
adapt_layers.layer2.bn.running_mean                                    (256,)                         torch.float32        numel=256
adapt_layers.layer2.bn.running_var                                     (256,)                         torch.float32        numel=256
adapt_layers.layer2.bn.num_batches_tracked                             ()                             torch.int64          numel=1
neck.P4_1.cv1.conv.weight                                              (64, 384, 1, 1)                torch.float32        numel=24576
neck.P4_1.cv1.bn.weight                                                (64,)                          torch.float32        numel=64
neck.P4_1.cv1.bn.bias                                                  (64,)                          torch.float32        numel=64
neck.P4_1.cv1.bn.running_mean                                          (64,)                          torch.float32        numel=64
neck.P4_1.cv1.bn.running_var                                           (64,)                          torch.float32        numel=64
neck.P4_1.cv1.bn.num_batches_tracked                                   ()                             torch.int64          numel=1
neck.P4_1.cv2.conv.weight                                              (64, 384, 1, 1)                torch.float32        numel=24576
neck.P4_1.cv2.bn.weight                                                (64,)                          torch.float32        numel=64
neck.P4_1.cv2.bn.bias                                                  (64,)                          torch.float32        numel=64
neck.P4_1.cv2.bn.running_mean                                          (64,)                          torch.float32        numel=64
neck.P4_1.cv2.bn.running_var                                           (64,)                          torch.float32        numel=64
neck.P4_1.cv2.bn.num_batches_tracked                                   ()                             torch.int64          numel=1
neck.P4_1.cv3.conv.weight                                              (128, 128, 1, 1)               torch.float32        numel=16384
neck.P4_1.cv3.bn.weight                                                (128,)                         torch.float32        numel=128
neck.P4_1.cv3.bn.bias                                                  (128,)                         torch.float32        numel=128
neck.P4_1.cv3.bn.running_mean                                          (128,)                         torch.float32        numel=128
neck.P4_1.cv3.bn.running_var                                           (128,)                         torch.float32        numel=128
neck.P4_1.cv3.bn.num_batches_tracked                                   ()                             torch.int64          numel=1
neck.P4_1.m.0.cv1.conv.weight                                          (64, 64, 1, 1)                 torch.float32        numel=4096
neck.P4_1.m.0.cv1.bn.weight                                            (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv1.bn.bias                                              (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv1.bn.running_mean                                      (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv1.bn.running_var                                       (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv1.bn.num_batches_tracked                               ()                             torch.int64          numel=1
neck.P4_1.m.0.cv2.conv.weight                                          (64, 64, 3, 3)                 torch.float32        numel=36864
neck.P4_1.m.0.cv2.bn.weight                                            (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv2.bn.bias                                              (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv2.bn.running_mean                                      (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv2.bn.running_var                                       (64,)                          torch.float32        numel=64
neck.P4_1.m.0.cv2.bn.num_batches_tracked                               ()                             torch.int64          numel=1
neck.P4_2.conv.weight                                                  (64, 128, 1, 1)                torch.float32        numel=8192
neck.P4_2.bn.weight                                                    (64,)                          torch.float32        numel=64
neck.P4_2.bn.bias                                                      (64,)                          torch.float32        numel=64
neck.P4_2.bn.running_mean                                              (64,)                          torch.float32        numel=64
neck.P4_2.bn.running_var                                               (64,)                          torch.float32        numel=64
neck.P4_2.bn.num_batches_tracked                                       ()                             torch.int64          numel=1
pan.P3.cv1.conv.weight                                                 (32, 128, 1, 1)                torch.float32        numel=4096
pan.P3.cv1.bn.weight                                                   (32,)                          torch.float32        numel=32
pan.P3.cv1.bn.bias                                                     (32,)                          torch.float32        numel=32
pan.P3.cv1.bn.running_mean                                             (32,)                          torch.float32        numel=32
pan.P3.cv1.bn.running_var                                              (32,)                          torch.float32        numel=32
pan.P3.cv1.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P3.cv2.conv.weight                                                 (32, 128, 1, 1)                torch.float32        numel=4096
pan.P3.cv2.bn.weight                                                   (32,)                          torch.float32        numel=32
pan.P3.cv2.bn.bias                                                     (32,)                          torch.float32        numel=32
pan.P3.cv2.bn.running_mean                                             (32,)                          torch.float32        numel=32
pan.P3.cv2.bn.running_var                                              (32,)                          torch.float32        numel=32
pan.P3.cv2.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P3.cv3.conv.weight                                                 (64, 64, 1, 1)                 torch.float32        numel=4096
pan.P3.cv3.bn.weight                                                   (64,)                          torch.float32        numel=64
pan.P3.cv3.bn.bias                                                     (64,)                          torch.float32        numel=64
pan.P3.cv3.bn.running_mean                                             (64,)                          torch.float32        numel=64
pan.P3.cv3.bn.running_var                                              (64,)                          torch.float32        numel=64
pan.P3.cv3.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P3.m.0.cv1.conv.weight                                             (32, 32, 1, 1)                 torch.float32        numel=1024
pan.P3.m.0.cv1.bn.weight                                               (32,)                          torch.float32        numel=32
pan.P3.m.0.cv1.bn.bias                                                 (32,)                          torch.float32        numel=32
pan.P3.m.0.cv1.bn.running_mean                                         (32,)                          torch.float32        numel=32
pan.P3.m.0.cv1.bn.running_var                                          (32,)                          torch.float32        numel=32
pan.P3.m.0.cv1.bn.num_batches_tracked                                  ()                             torch.int64          numel=1
pan.P3.m.0.cv2.conv.weight                                             (32, 32, 3, 3)                 torch.float32        numel=9216
pan.P3.m.0.cv2.bn.weight                                               (32,)                          torch.float32        numel=32
pan.P3.m.0.cv2.bn.bias                                                 (32,)                          torch.float32        numel=32
pan.P3.m.0.cv2.bn.running_mean                                         (32,)                          torch.float32        numel=32
pan.P3.m.0.cv2.bn.running_var                                          (32,)                          torch.float32        numel=32
pan.P3.m.0.cv2.bn.num_batches_tracked                                  ()                             torch.int64          numel=1
pan.convP3.conv.weight                                                 (64, 64, 3, 3)                 torch.float32        numel=36864
pan.convP3.bn.weight                                                   (64,)                          torch.float32        numel=64
pan.convP3.bn.bias                                                     (64,)                          torch.float32        numel=64
pan.convP3.bn.running_mean                                             (64,)                          torch.float32        numel=64
pan.convP3.bn.running_var                                              (64,)                          torch.float32        numel=64
pan.convP3.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P4.cv1.conv.weight                                                 (64, 128, 1, 1)                torch.float32        numel=8192
pan.P4.cv1.bn.weight                                                   (64,)                          torch.float32        numel=64
pan.P4.cv1.bn.bias                                                     (64,)                          torch.float32        numel=64
pan.P4.cv1.bn.running_mean                                             (64,)                          torch.float32        numel=64
pan.P4.cv1.bn.running_var                                              (64,)                          torch.float32        numel=64
pan.P4.cv1.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P4.cv2.conv.weight                                                 (64, 128, 1, 1)                torch.float32        numel=8192
pan.P4.cv2.bn.weight                                                   (64,)                          torch.float32        numel=64
pan.P4.cv2.bn.bias                                                     (64,)                          torch.float32        numel=64
pan.P4.cv2.bn.running_mean                                             (64,)                          torch.float32        numel=64
pan.P4.cv2.bn.running_var                                              (64,)                          torch.float32        numel=64
pan.P4.cv2.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P4.cv3.conv.weight                                                 (128, 128, 1, 1)               torch.float32        numel=16384
pan.P4.cv3.bn.weight                                                   (128,)                         torch.float32        numel=128
pan.P4.cv3.bn.bias                                                     (128,)                         torch.float32        numel=128
pan.P4.cv3.bn.running_mean                                             (128,)                         torch.float32        numel=128
pan.P4.cv3.bn.running_var                                              (128,)                         torch.float32        numel=128
pan.P4.cv3.bn.num_batches_tracked                                      ()                             torch.int64          numel=1
pan.P4.m.0.cv1.conv.weight                                             (64, 64, 1, 1)                 torch.float32        numel=4096
pan.P4.m.0.cv1.bn.weight                                               (64,)                          torch.float32        numel=64
pan.P4.m.0.cv1.bn.bias                                                 (64,)                          torch.float32        numel=64
pan.P4.m.0.cv1.bn.running_mean                                         (64,)                          torch.float32        numel=64
pan.P4.m.0.cv1.bn.running_var                                          (64,)                          torch.float32        numel=64
pan.P4.m.0.cv1.bn.num_batches_tracked                                  ()                             torch.int64          numel=1
pan.P4.m.0.cv2.conv.weight                                             (64, 64, 3, 3)                 torch.float32        numel=36864
